Agent Key Preparation: sorted by portal number 

Needed = keys this agent requires
# = portal number on portal map
Name = portal name in portal file

Keys for Agent 1
Needed ;   # ; Name
     3 ;   0 ; Stolperstein Dr. Leo Baeck
     2 ;   2 ; Verzierte Wasserpumpe
     2 ;   3 ; Gedenktafel Karl Zuckmayer
     2 ;   4 ; Alexander Stolpersteine
    12 ;   5 ; Stolpersteine Mottek
     3 ;   6 ; Stolpersteine Leiser
     1 ;   7 ; Lukas Kirche
     3 ;   8 ; Rudolph Wilde Park
     3 ;   9 ; Ratskeller
     2 ;  10 ; Reichsfreiherr Carl
     2 ;  11 ; Tiger Power
     3 ;  12 ; Blumentopf
     2 ;  13 ; Der goldene Hirsch
     3 ;  14 ; Spielplatz Rudolph Wilde Park
     1 ;  16 ; Gedenktafel Alexander Roda Roda
     3 ;  17 ; Mosaik am U-Bhf Schöneberg
     2 ;  18 ; Stolperstein Pauline Zander
     3 ;  19 ; Bird painting
     3 ;  20 ; Wilde Park
     2 ;  21 ; Statue auf der Carl-Zuckmaier
     2 ;  22 ; Sitting Ducks
     2 ;  23 ; Liebes Schlösser

